PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=34.3 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=40.2 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=35.8 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=40.5 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=49.7 ms
64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=48.8 ms
64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=25.5 ms
64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=29.8 ms
64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=35.4 ms
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=36.7 ms
64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=42.5 ms
64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=41.5 ms
64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=46.1 ms
64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=48.7 ms
64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=26.0 ms
64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=30.1 ms
64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=38.1 ms
64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=41.1 ms
64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=41.6 ms
64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=43.0 ms
64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=46.0 ms
64 bytes from 10.0.0.2: icmp_seq=196 ttl=64 time=25.4 ms
64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=31.1 ms
64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=32.0 ms
64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=35.9 ms
64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=41.5 ms
64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=46.2 ms
64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=46.6 ms
64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=52.3 ms
64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=37.5 ms
64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=37.0 ms
64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=36.5 ms
64 bytes from 10.0.0.2: icmp_seq=208 ttl=64 time=45.8 ms
64 bytes from 10.0.0.2: icmp_seq=209 ttl=64 time=44.2 ms
64 bytes from 10.0.0.2: icmp_seq=210 ttl=64 time=24.2 ms
64 bytes from 10.0.0.2: icmp_seq=211 ttl=64 time=28.6 ms
64 bytes from 10.0.0.2: icmp_seq=212 ttl=64 time=35.6 ms
64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=37.2 ms
64 bytes from 10.0.0.2: icmp_seq=214 ttl=64 time=40.0 ms
64 bytes from 10.0.0.2: icmp_seq=215 ttl=64 time=44.8 ms
64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=45.2 ms
64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=46.3 ms
64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=25.9 ms
64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=33.4 ms
64 bytes from 10.0.0.2: icmp_seq=220 ttl=64 time=30.2 ms
64 bytes from 10.0.0.2: icmp_seq=221 ttl=64 time=38.6 ms
64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=41.9 ms
64 bytes from 10.0.0.2: icmp_seq=223 ttl=64 time=43.3 ms
64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=46.8 ms
64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=30.1 ms
64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=32.9 ms
64 bytes from 10.0.0.2: icmp_seq=227 ttl=64 time=36.5 ms
64 bytes from 10.0.0.2: icmp_seq=228 ttl=64 time=39.4 ms
64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=48.5 ms
64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=26.1 ms
64 bytes from 10.0.0.2: icmp_seq=232 ttl=64 time=32.2 ms
64 bytes from 10.0.0.2: icmp_seq=233 ttl=64 time=34.7 ms
64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=38.2 ms
64 bytes from 10.0.0.2: icmp_seq=235 ttl=64 time=40.6 ms
64 bytes from 10.0.0.2: icmp_seq=236 ttl=64 time=44.3 ms
64 bytes from 10.0.0.2: icmp_seq=237 ttl=64 time=45.5 ms
64 bytes from 10.0.0.2: icmp_seq=238 ttl=64 time=31.6 ms
64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=29.2 ms
64 bytes from 10.0.0.2: icmp_seq=240 ttl=64 time=34.5 ms
64 bytes from 10.0.0.2: icmp_seq=241 ttl=64 time=38.5 ms
64 bytes from 10.0.0.2: icmp_seq=242 ttl=64 time=41.5 ms
64 bytes from 10.0.0.2: icmp_seq=243 ttl=64 time=44.6 ms
64 bytes from 10.0.0.2: icmp_seq=244 ttl=64 time=45.3 ms
64 bytes from 10.0.0.2: icmp_seq=245 ttl=64 time=33.4 ms
64 bytes from 10.0.0.2: icmp_seq=246 ttl=64 time=28.3 ms
64 bytes from 10.0.0.2: icmp_seq=247 ttl=64 time=31.3 ms
64 bytes from 10.0.0.2: icmp_seq=248 ttl=64 time=34.9 ms
64 bytes from 10.0.0.2: icmp_seq=249 ttl=64 time=38.3 ms
64 bytes from 10.0.0.2: icmp_seq=250 ttl=64 time=40.1 ms
64 bytes from 10.0.0.2: icmp_seq=251 ttl=64 time=42.5 ms
64 bytes from 10.0.0.2: icmp_seq=252 ttl=64 time=23.6 ms
64 bytes from 10.0.0.2: icmp_seq=253 ttl=64 time=28.7 ms
64 bytes from 10.0.0.2: icmp_seq=254 ttl=64 time=38.4 ms
64 bytes from 10.0.0.2: icmp_seq=255 ttl=64 time=34.9 ms
64 bytes from 10.0.0.2: icmp_seq=256 ttl=64 time=41.9 ms
64 bytes from 10.0.0.2: icmp_seq=257 ttl=64 time=45.9 ms
64 bytes from 10.0.0.2: icmp_seq=258 ttl=64 time=132 ms
64 bytes from 10.0.0.2: icmp_seq=259 ttl=64 time=41.3 ms
64 bytes from 10.0.0.2: icmp_seq=260 ttl=64 time=29.3 ms
64 bytes from 10.0.0.2: icmp_seq=261 ttl=64 time=18.5 ms
64 bytes from 10.0.0.2: icmp_seq=262 ttl=64 time=24.0 ms
64 bytes from 10.0.0.2: icmp_seq=263 ttl=64 time=28.8 ms
64 bytes from 10.0.0.2: icmp_seq=264 ttl=64 time=32.3 ms
64 bytes from 10.0.0.2: icmp_seq=265 ttl=64 time=34.9 ms
64 bytes from 10.0.0.2: icmp_seq=266 ttl=64 time=40.7 ms
64 bytes from 10.0.0.2: icmp_seq=267 ttl=64 time=42.7 ms
64 bytes from 10.0.0.2: icmp_seq=268 ttl=64 time=45.6 ms
64 bytes from 10.0.0.2: icmp_seq=271 ttl=64 time=28.9 ms
64 bytes from 10.0.0.2: icmp_seq=272 ttl=64 time=30.5 ms
64 bytes from 10.0.0.2: icmp_seq=273 ttl=64 time=36.5 ms
64 bytes from 10.0.0.2: icmp_seq=274 ttl=64 time=39.2 ms
64 bytes from 10.0.0.2: icmp_seq=275 ttl=64 time=42.9 ms
64 bytes from 10.0.0.2: icmp_seq=276 ttl=64 time=46.7 ms
64 bytes from 10.0.0.2: icmp_seq=279 ttl=64 time=29.1 ms
64 bytes from 10.0.0.2: icmp_seq=280 ttl=64 time=33.4 ms
64 bytes from 10.0.0.2: icmp_seq=281 ttl=64 time=35.8 ms
64 bytes from 10.0.0.2: icmp_seq=282 ttl=64 time=42.6 ms
64 bytes from 10.0.0.2: icmp_seq=283 ttl=64 time=42.3 ms
64 bytes from 10.0.0.2: icmp_seq=284 ttl=64 time=45.1 ms
64 bytes from 10.0.0.2: icmp_seq=285 ttl=64 time=40.3 ms
64 bytes from 10.0.0.2: icmp_seq=286 ttl=64 time=30.3 ms
64 bytes from 10.0.0.2: icmp_seq=287 ttl=64 time=31.3 ms
64 bytes from 10.0.0.2: icmp_seq=288 ttl=64 time=35.8 ms
64 bytes from 10.0.0.2: icmp_seq=289 ttl=64 time=40.5 ms
64 bytes from 10.0.0.2: icmp_seq=290 ttl=64 time=41.8 ms
64 bytes from 10.0.0.2: icmp_seq=291 ttl=64 time=47.6 ms
64 bytes from 10.0.0.2: icmp_seq=292 ttl=64 time=47.7 ms
64 bytes from 10.0.0.2: icmp_seq=293 ttl=64 time=24.8 ms
64 bytes from 10.0.0.2: icmp_seq=294 ttl=64 time=29.5 ms
64 bytes from 10.0.0.2: icmp_seq=295 ttl=64 time=35.9 ms
64 bytes from 10.0.0.2: icmp_seq=296 ttl=64 time=37.1 ms
64 bytes from 10.0.0.2: icmp_seq=297 ttl=64 time=41.0 ms
64 bytes from 10.0.0.2: icmp_seq=298 ttl=64 time=43.6 ms
64 bytes from 10.0.0.2: icmp_seq=299 ttl=64 time=43.7 ms
64 bytes from 10.0.0.2: icmp_seq=300 ttl=64 time=32.8 ms
64 bytes from 10.0.0.2: icmp_seq=301 ttl=64 time=17.5 ms
64 bytes from 10.0.0.2: icmp_seq=302 ttl=64 time=23.6 ms
64 bytes from 10.0.0.2: icmp_seq=303 ttl=64 time=27.9 ms
64 bytes from 10.0.0.2: icmp_seq=304 ttl=64 time=34.1 ms
64 bytes from 10.0.0.2: icmp_seq=305 ttl=64 time=37.4 ms
64 bytes from 10.0.0.2: icmp_seq=306 ttl=64 time=41.5 ms
64 bytes from 10.0.0.2: icmp_seq=307 ttl=64 time=43.1 ms
64 bytes from 10.0.0.2: icmp_seq=308 ttl=64 time=32.0 ms
64 bytes from 10.0.0.2: icmp_seq=309 ttl=64 time=29.2 ms
64 bytes from 10.0.0.2: icmp_seq=310 ttl=64 time=31.2 ms
64 bytes from 10.0.0.2: icmp_seq=311 ttl=64 time=36.1 ms
64 bytes from 10.0.0.2: icmp_seq=312 ttl=64 time=40.8 ms
64 bytes from 10.0.0.2: icmp_seq=313 ttl=64 time=43.1 ms
64 bytes from 10.0.0.2: icmp_seq=314 ttl=64 time=46.5 ms
64 bytes from 10.0.0.2: icmp_seq=317 ttl=64 time=28.7 ms
64 bytes from 10.0.0.2: icmp_seq=318 ttl=64 time=32.3 ms
64 bytes from 10.0.0.2: icmp_seq=319 ttl=64 time=37.6 ms
64 bytes from 10.0.0.2: icmp_seq=320 ttl=64 time=39.0 ms
64 bytes from 10.0.0.2: icmp_seq=321 ttl=64 time=42.1 ms
64 bytes from 10.0.0.2: icmp_seq=322 ttl=64 time=45.9 ms
64 bytes from 10.0.0.2: icmp_seq=325 ttl=64 time=29.1 ms
64 bytes from 10.0.0.2: icmp_seq=326 ttl=64 time=31.8 ms
64 bytes from 10.0.0.2: icmp_seq=327 ttl=64 time=34.7 ms
64 bytes from 10.0.0.2: icmp_seq=328 ttl=64 time=40.6 ms
64 bytes from 10.0.0.2: icmp_seq=329 ttl=64 time=42.2 ms
64 bytes from 10.0.0.2: icmp_seq=330 ttl=64 time=49.0 ms
64 bytes from 10.0.0.2: icmp_seq=331 ttl=64 time=29.8 ms
